product_name,manufacturer,pharmaceutical_form,expiration_date,register_year,durability
diocam 0.5,laboratorios casasco s.a.i.c.,COMPRIMIDO,2020-11-20,2000,20
miodar 200,laboratorios rowe,COMPRIMIDO,2020-08-14,2000,20
insuman r,sanofi-aventis deutschland gmbh,SOLUCION,2020-11-21,2000,20
dolotrop - k,dr. elizardo perez espinosa,COMPRIMIDO,2025-12-07,2000,25
insuman-n,sanofi-aventis deutschland gmbh,SUSPENSION,2020-11-21,2000,20
mestinon,laboratorios servet,TABLETA,2020-08-20,2000,20
prostigmine,laboratorios grossman,SOLUCION,2025-11-21,2000,25
cardionil 10,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-07,2000,25
vasonil 5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-18,2000,25
pofol,dongkook pharmaceutical co. ltd.,EMULSION,2025-11-21,2000,25
maxidipin at,ethical pharmaceutical,COMPRIMIDO,2025-06-09,2000,25
nitroglicerina,laboratorio sanderson s.a.,SOLUCION,2025-11-13,2000,25
balsoprim plus,industria farmaceutica del caribe,SUSPENSION,2025-06-02,2000,25
viternum complex,industria farmaceutica del caribe,CAPSULA,2025-06-02,2000,25
alfagel,laboratorios alfa,SUSPENSION,2025-12-22,2000,25
amoxidal duo,roemmers s.a.i.c.f,SUSPENSION,2025-12-14,2000,25
lucotusin,laboratorios alfa,SUPOSITORIO,2025-12-22,2000,25
celerax 200,laboratorio de aplicaciones medicas,COMPRIMIDO,2025-11-28,2000,25
tot'hema,innothera chouzy,SOLUCION,2025-03-21,2000,25
apranax,tecnandina s.a. quito,TABLETA,2025-12-18,2000,25
celestamine ns,eurofarma argentina,COMPRIMIDO,2025-12-04,2000,25
clarityne cort,eurofarma argentina,COMPRIMIDO,2025-11-20,2000,25
az ofteno,laboratorios sophia,SOLUCION,2025-12-26,2000,25
bromexan compuesto®,laboratorio san luis,POLVO,2025-12-07,2000,25
calcimax d3,gador s.a,COMPRIMIDO,2025-02-09,2000,25
nifedipina  lam 10 mg,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-03-20,2000,25
antralina 0.01% con acido salicilico-idcp,inst. dermatologico dom.y cirugia de piel dr. huberto bogaert diaz (idcp),UNGUENTO,2020-12-28,2000,20
lotrisone,schering-plough labo n.v.,CREMA,2020-11-22,2000,20
levotiroxina lam 0.2,laboratorios de aplicaciones medicas,COMPRIMIDO,2020-08-09,2000,20
prolyn adulto,laboratorios alfa,JARABE,2025-12-15,2000,25
meprax® 1,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-05-10,2000,25
meprax® 0.5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-05-10,2000,25
complejo b alfa,laboratorios alfa,SOLUCION,2023-10-20,2000,23
cebion 500mg,altea farmaceutica s.a,TABLETA,2025-01-30,2000,25
cebion,altea farmaceutica s. a.,SOLUCION,2025-01-30,2000,25
neurobion,merck s.a. de c.v.,TABLETA,2025-01-30,2000,25
peroxido de benzoilo-idcp,instituto dermatologico y cirugia de la piel dr. hurberto bogaert diaz,GEL,2020-12-28,2000,20
vasocal - ek 5/20,laboratorios rowe,CAPSULA,2026-10-22,2000,26
escabiderm n-idcp,inst. dermatologico dom.y cirugia de piel dr. huberto bogaert diaz (idcp),UNGUENTO,2020-12-28,2000,20
tavanic,sanofi-aventis deutschland gmbh,SOLUCION,2020-07-04,2000,20
antralina 2.0% con acido salicilico-idcp,inst. dermatologico dom.y cirugia de piel dr. huberto bogaert diaz (idcp),UNGUENTO,2020-12-28,2000,20
antralina 1.0% con acido salicilico-idcp,inst. dermatologico dom.y cirugia de piel dr. huberto bogaert diaz (idcp),UNGUENTO,2020-12-28,2000,20
unguento antimicotico-idcp,instituto dermatologico y cirugia de piel dr. huberto bogaert diaz,UNGUENTO,2020-12-28,2000,20
uniclar,schering-plough labo n.v.,SUSPENSION,2020-06-28,2000,20
psoriaderm -idcp,inst. dermatologico dom.y cirugia de piel dr. huberto bogaert diaz (idcp),CREMA,2020-12-28,2000,20
hidroderm al 1% -idcp,instituto dermatologico y cirugia de la piel dr. hurberto bogaert diaz,CREMA,2020-12-28,2000,20
carsipril compuesto 5/5,laboratorios de aplicaciones medicas,COMPRIMIDO,2026-09-10,2000,26
antralina 0.1% con acido salicilico-idcp,inst. dermatologico dom.y cirugia de piel dr. huberto bogaert diaz (idcp),UNGUENTO,2020-12-28,2000,20
folimen active,laboratorios menarini,POLVO,2020-08-11,2000,20
tebokan e,laboratorios rowe,COMPRIMIDO,2026-04-25,2000,26
farmaferron,laboratorios sintesis,SOLUCION,2020-12-18,2000,20
tridette,gador s.a,COMPRIMIDO,2020-11-23,2000,20
"alplax 0,25 mg",gador s.a,COMPRIMIDO,2025-02-09,2000,25
prelone,pharmacross s.a.,JARABE,2020-08-04,2000,20
adamon,pharmacross s.a.,SOLUCION,2020-08-01,2000,20
ferromene,laboratorios menarini,POLVO,2020-11-28,2000,20
genta darkey,laboratorios sintesis,SOLUCION,2020-11-29,2000,20
astan,pharmacross s.a.,CAPSULA,2020-11-30,2000,20
atenolol,laboratorios orbis,TABLETA,2020-11-30,2000,20
sultrim fuerte,industria farmoquimica,CAPLETA,2025-11-28,2000,25
neo-melubrina,sanofi-aventis de mexico s.a. de c.v.,SOLUCION,2025-06-09,2000,25
flucomicon,laboratorios chalver de colombia s.a.,SOLUCION,2020-12-14,2000,20
sertal compuesto,roemmers,COMPRIMIDO,2020-12-14,2000,20
lodipin - e 5/20,laboratorios dr. collado,COMPRIMIDO,2025-08-31,2000,25
coaprovel,laboratorios sanofi winthrop industrie,COMPRIMIDO,2024-12-22,2000,24
monolitum,laboratorios salvat,CAPSULA,2020-12-14,2000,20
genta darkey,laboratorios sintesis,SOLUCION,2020-12-14,2000,20
virazide pediatrico,laboratorios grossman,SOLUCION,2025-10-27,2000,25
inducor d,laboratorios de aplicaciones medicas,COMPRIMIDO,2020-12-15,2000,20
alplax net,gador,COMPRIMIDO,2025-11-21,2000,25
voltaren 50,delpharm huningue,SUPOSITORIO,2025-12-18,2000,25
otoflox,acromax dominicana,SOLUCION,2025-11-28,2000,25
cardionil 20,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-07,2000,25
ecaprinil 20,laboratorios rowe,COMPRIMIDO,2025-08-14,2000,25
ecaprinil d,laboratorios rowe,COMPRIMIDO,2025-10-27,2000,25
parkil,medifarma,TABLETA,2025-06-28,2000,25
preoxid,industria farmaceutica del caribe sas,CAPSULA,2025-10-09,2000,25
permixon,pierre fabre medicament production,CAPSULA,2025-02-09,2000,25
rowatanal,rowa pharmaceuticals ltd.,CREMA,2025-10-23,2000,25
eritrex,laboratorios alfa,POLVO,2026-11-27,2000,26
lidocaina 2% alfa  20 mg / ml,laboratorios alfa,SOLUCION,2025-02-16,2000,25
atemperator,armstrong laboratorios de mexico,TABLETA,2025-11-07,2000,25
omestop,laboratorios dismed. s.r.l,CAPSULA,2025-06-15,2000,25
imidal,industria farmaceutica del caribe,CAPLETA,2025-12-04,2000,25
kalm,laboratorios dr. collado,JARABE,2025-11-28,2000,25
kalm 10,laboratorios dr. collado,COMPRIMIDO,2025-11-23,2000,25
elafax xr 150,laboratorios elea phoenix s.a.,COMPRIMIDO,2025-12-18,2000,25
xolum 400,laboratorios dr. collado,CAPLETA,2025-12-20,2000,25
doxil - 20,laboratorios dr. collado,CAPSULA,2025-11-28,2000,25
cetirizina,laboratorios rowe,SOLUCION,2025-08-19,2000,25
ziagen,glaxo operations uk,TABLETA,2025-07-13,2000,25
metrocaps n,procaps s.a.,OVULO,2025-12-23,2000,25
dextrosa alfa 50%,laboratorios alfa,SOLUCION,2025-03-14,2000,25
dexona 4 mg / 1 ml,laboratorios alfa,SOLUCION,2025-06-28,2000,25
ecaprinil 5,laboratorios rowe,COMPRIMIDO,2025-08-14,2000,25
flagenase 400 pediatrico,laboratorios liomont,SUSPENSION,2025-08-01,2000,25
cardicol 10,laboratorio magnachem international,TABLETA,2025-11-07,2000,25
meprolol-h 100/25,laboratorios dr. collado,CAPLETA,2025-12-15,2000,25
cloranfenicol 250 mg / 5 ml,laboratorios alfa,SUSPENSION,2025-08-20,2000,25
"ziac 5,0 / 6,25",altea farmaceutica s.a.,TABLETA,2025-08-11,2000,25
unizol®,industria farmaceutica del caribe,CAPLETA,2025-12-18,2000,25
"ziac 10/6,25",altea farmaceutica,TABLETA,2025-08-11,2000,25
baten 150 bussie,laboratorios bussie,CAPSULA,2026-05-02,2000,26
suprofen,laboratorios sued,SUSPENSION,2025-10-27,2000,25
amlofel,laboratorios feltrex,TABLETA,2025-02-14,2000,25
amoxidal duo,rommers,COMPRIMIDO,2025-12-29,2000,25
arava,opella healthcare international,TABLETA,2025-04-25,2000,25
pantecta iv,takeda gmbh,POLVO,2025-12-14,2000,25
supradol,laboratorios liomont,TABLETA,2025-12-14,2000,25
elafax xr 75,laboratorio elea phoenix s.a.,COMPRIMIDO,2025-12-18,2000,25
protamina 1000,laboratorios grossman,SOLUCION,2025-12-28,2000,25
daprinol compuesto,industria farmaceutica del caribe,CAPSULA,2025-04-25,2000,25
cardicol 5,laboratorio magnachem international s.r.l.,TABLETA,2025-12-03,2000,25
histomin,laboratorios alfa,SOLUCION,2025-06-28,2000,25
ecaprinil 10,laboratorios rowe,COMPRIMIDO,2025-08-14,2000,25
cetirizina,laboratorios rowe,COMPRIMIDO,2025-08-17,2000,25
ramicar 2.5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-08-14,2000,25
lodipres 10,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-08-12,2000,25
erec-f 50mg,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-08-11,2000,25
clormin - 850,industria farmoquimica,CAPLETA,2025-08-09,2000,25
vasocal - ek 2.5/10,laboratorios rowe,CAPSULA,2021-12-31,2000,21
ciprofel,laboratorios feltrex,CAPLETA,2025-05-15,2000,25
diclofenac 50,laboratorios rowe,SUPOSITORIO,2025-12-28,2000,25
ziac 2.5 / 6.25,altea farmaceutica,TABLETA,2025-08-11,2000,25
ketoconazol 400mg inmenol,inmenol industrial laboratorios,OVULO,2025-11-08,2000,25
celecoxib  200,laboratorios rowe,CAPSULA,2025-12-28,2000,25
"bioplexin 25,000",laboratorios arsal,SOLUCION,2025-12-18,2000,25
diclofenac 100,laboratorios rowe,SUPOSITORIO,2025-12-28,2000,25
amlofel,laboratorios feltrex,TABLETA,2025-02-15,2000,25
lodipin 10,laboratorios dr. collado,COMPRIMIDO,2025-08-15,2000,25
androcur,delpharm lille s.a.s francia,TABLETA,2025-01-31,2000,25
vitamina b12 alfa,laboratorios alfa,SOLUCION,2025-04-10,2000,25
complejo b union,camilo labs,TABLETA,2026-12-19,2001,25
tinizol,laboratorio laprofar,TABLETA,2026-05-23,2001,25
nordal plus,laboratorio laprofar,CAPSULA,2026-06-20,2001,25
nozin,lab. gefarca ind. farm. perezespinosa,CREMA,2026-08-09,2001,25
aprovel,laboratorios sanofi winthrop industrie,COMPRIMIDO,2026-03-06,2001,25
nordal plus,laboratorios laprofar,OVULO,2026-06-20,2001,25
sinalerg,lab. gefarca ind. farmaceutica perezespinosa,JARABE,2026-08-08,2001,25
septran forte,glaxosmithkline mexico,TABLETA,2021-10-29,2001,20
peg - intron,n.v. schering-plough labo,POLVO,2021-10-31,2001,20
lysinex - car,camilo labs,JARABE,2026-12-31,2001,25
ibuprofeno genfar,genfar,SUSPENSION,2021-11-09,2001,20
senifar,farqui,CAPLETA,2026-02-16,2001,25
atacand,astrazeneca,TABLETA,2026-09-05,2001,25
atacand,astrazeneca,TABLETA,2026-09-05,2001,25
colplex,delhi pharma,TABLETA,2026-12-31,2001,25
antial 10,laboratorios de aplicaciones medicas,COMPRIMIDO,2026-06-26,2001,25
colergia,delhi pharma,TABLETA,2026-12-31,2001,25
albendazol,delhi pharma,TABLETA,2021-11-30,2001,20
clorpromazina hidrocloruro,delhi pharma,SOLUCION,2026-11-04,2001,25
falcifor,ethical pharmaceutical,COMPRIMIDO,2026-09-05,2001,25
infanrix hexa,glaxosmithkline biologicals s.a.; belgica,POLVO,2021-11-12,2001,20
rhinocort aqua,astrazeneca ab,SUSPENSION,2021-11-14,2001,20
enantyum,laboratorio menarini,GEL,2026-11-16,2001,25
tolnaftin,laboratorios rowe,SOLUCION,2021-11-29,2001,20
rhinocort aqua,astrazeneca ab,SUSPENSION,2021-11-14,2001,20
neural,ethical pharmaceutical,COMPRIMIDO,2026-09-05,2001,25
otogesic,laboratorios rowe,SOLUCION,2026-07-09,2001,25
manzanilla sophia,laboratorios sophia,SOLUCION,2026-03-06,2001,25
maalox plus,sanofi-aventis de mexico s.a. de c.v.,TABLETA,2026-06-20,2001,25
sil-norboral,laboratorios silanes,TABLETA,2026-03-06,2001,25
angibloc-50,acromax dominicana,TABLETA,2026-10-04,2001,25
enalapril alfa 20 mg,laboratorios alfa,TABLETA,2026-06-12,2001,25
eritropoyetina,cj healthcare corporation,SOLUCION,2021-01-17,2001,20
etigesic,ethical pharmaceutical,COMPRIMIDO,2021-01-18,2001,20
zuclo-p,medifarma,TABLETA,2021-01-22,2001,20
precor 10,acromax dominicana,TABLETA,2026-11-08,2001,25
cetraxal,laboratorios salvat,COMPRIMIDO,2021-01-22,2001,20
triam-n,laboratorios antillanos edmar,OVULO,2026-06-21,2001,25
tenaron 15,roemmers,COMPRIMIDO,2021-01-15,2001,20
precor 5,acromax dominicana,TABLETA,2026-11-08,2001,25
nexium,astrazeneca ab.,TABLETA,2026-08-09,2001,25
clovagil compuesto,acromax dominicana,CREMA,2026-11-27,2001,25
lansoprazol de liberacion retardada genfar,genfar,CAPSULA,2021-11-27,2001,20
meneparol,laboratorios menarini s.a.,SOLUCION,2026-06-12,2001,25
peg-intron,n.v. schering-plough labo,POLVO,2021-01-31,2001,20
furosemida,delhi pharma,TABLETA,2021-11-30,2001,20
fungoter,acromax dominicana,SOLUCION,2026-11-29,2001,25
espamo digestomen,richam internacional,COMPRIMIDO,2026-11-29,2001,25
beeplex forte,laboratorio dismed,CAPSULA,2021-01-15,2001,20
duazolam 0.25,laboratorios rowe,COMPRIMIDO,2021-01-15,2001,20
ranicol,delhi pharma,TABLETA,2026-12-19,2001,25
aspirina forte,bayer,TABLETA,2026-01-22,2001,25
valpakine,sanofi-aventis,COMPRIMIDO,2026-03-21,2001,25
clotrimazol,lab. gefarca ind. farm. perezespinosa,CREMA,2026-07-09,2001,25
angibloc d 50/12.5 mg,acromax dominicana,TABLETA,2026-10-02,2001,25
noplak,ethical pharmaceutical,COMPRIMIDO,2026-08-28,2001,25
mucilan,laboratorios rowe,POLVO,2021-01-15,2001,20
amoxidal respiratorio duo,roemmers s.a.i.c.f.,COMPRIMIDO,2026-11-15,2001,25
acticam,acromax dominicana,TABLETA,2026-10-02,2001,25
brondil - forte,fabricante y acondicionador:  laboratorio magnachem international,GRANULADO,2028-05-09,2001,27
doblocal retard-d,industria farmaceutica del caribe,CAPSULA,2026-07-19,2001,25
amoxidal respiratorio duo,roemmers s.a.i.c.f.,POLVO,2026-11-15,2001,25
alernadina,acromax dominicana,TABLETA,2021-01-11,2001,20
brixia,laboratorios poen s.a.u.,SOLUCION,2026-11-08,2001,25
resfridol te antigripal,laboratorios alfa,POLVO,2026-07-09,2001,25
olan,medifarma,TABLETA,2021-11-14,2001,20
meloxil,ethical pharmaceutical,COMPRIMIDO,2026-09-05,2001,25
recormon,roche diagnostics gmbh,SOLUCION,2026-03-08,2001,25
coldic,delhi pharma,SOLUCION,2021-12-31,2001,20
azibiotic,acromax dominicana,POLVO,2026-01-18,2001,25
ranicol,delhi pharma,SOLUCION,2021-12-19,2001,20
amlocol-5,delhi pharma,TABLETA,2021-12-19,2001,20
doxiciclina,inmenol industrial laboratorios,CAPSULA,2026-11-07,2001,25
ciprofloxacina  inmenol -500 mg,inmenol industrial laboratorios,CAPLETA,2026-11-08,2001,25
louten,laboratorios poen s.a.u.,SOLUCION,2026-07-09,2001,25
zinnat,glaxosmithkline manufacturing spa,POLVO,2026-10-23,2001,25
fortum,acs dobfar s.p.a.,POLVO,2026-07-30,2001,25
oxitocina,delhi pharma,SOLUCION,2021-12-31,2001,20
concor,merck healthcare kgaa,TABLETA,2026-06-13,2001,25
histal,ethical pharmaceutical,JARABE,2026-01-10,2001,25
concor,merck healthcare,TABLETA,2026-06-13,2001,25
histal,ethical pharmaceutical,COMPRIMIDO,2026-01-10,2001,25
succinato de hidrocortisona sodica,delhi pharma,POLVO,2021-12-31,2001,20
cloranfenicol inmenol,inmenol industrial laboratorios,CAPSULA,2026-11-07,2001,25
concor,ver al dorso,TABLETA,2026-06-12,2001,25
mucolam,laboratorios de aplicaciones medicas,JARABE,2026-01-25,2001,25
mucolam  compositum,laboratorios de aplicaciones medicas,JARABE,2026-02-02,2001,25
albendazol,kwality pharmaceuticals ltd.,TABLETA,2026-11-07,2001,25
atropina,delhi pharma,SOLUCION,2026-12-31,2001,25
amotran 250 mg,laboratorios alfa,POLVO,2026-01-31,2001,25
fenomi-sur,laboratorio del sur,JARABE,2021-12-31,2001,20
amlocol-10,delhi pharma,TABLETA,2021-12-31,2001,20
nor-crezinc,laboratorios teramed,JARABE,2026-08-09,2001,25
nor-crezinc,laboratorios teramed,TABLETA,2026-01-09,2001,25
clinfol,catalent argentina s.a.i.c.,OVULO,2026-01-09,2001,25
impedil,ethical pharmaceutical,CAPSULA,2026-01-22,2001,25
olan,medifarma,TABLETA,2021-11-20,2001,20
metoclopramida,delhi pharma,SOLUCION,2021-12-31,2001,20
diclofenaco de liberacion prolongada genfar,genfar,TABLETA,2021-12-31,2001,20
lasurtin,laboratorio del sur,JARABE,2021-12-31,2001,20
nootropil,aesica pharmaceuticals s.r.l.,SOLUCION,2021-12-10,2001,20
colaphen,delhi pharma,SUSPENSION,2021-12-31,2001,20
diclo-k,laboratorios rowe,SUSPENSION,2021-12-31,2001,20
tramadol cinfa,laboratorios cinfa,CAPSULA,2021-12-31,2001,20
coldexa,delhi pharma,SOLUCION,2021-12-31,2001,20
certara,industria farmaceutica del caribe,CAPLETA,2026-02-02,2001,25
colcip,delhi pharma,TABLETA,2021-12-31,2001,20
colatenol,delhi pharma,TABLETA,2021-12-31,2001,20
alidrex 15,camilo labs,CAPLETA,2021-12-31,2001,20
ambroxol cinfa,laboratorios cinfa,JARABE,2021-12-31,2001,20
colaphen,delhi pharma,TABLETA,2022-01-03,2001,21
ulprazol xl,industria farmaceutica del caribe,CAPSULA,2026-12-06,2001,25
certara,industria farmaceutica del caribe,CAPLETA,2026-06-11,2001,25
afrin lub,schering plough,SOLUCION,2021-12-01,2001,20
candistatin-m,laboratorios rowe,OVULO,2026-08-09,2001,25
imidal,industria farmaceutica del caribe,SUSPENSION,2026-06-13,2001,25
nexium,astrazeneca ab,TABLETA,2026-08-14,2001,25
resfridol – plus,laboratorios alfa,JARABE,2026-07-09,2001,25
broncofilin,laboratorios rowe,JARABE,2026-05-16,2001,25
candistatin,laboratorios rowe,CREMA,2026-04-26,2001,25
mebendazol,delhi pharma,TABLETA,2021-12-04,2001,20
diaformina,roemmers,COMPRIMIDO,2026-01-09,2001,25
eritromicina inmenol 500 mg,inmenol industrial laboratorios,CAPLETA,2026-11-08,2001,25
claforan,sanofi-aventis de mexico s.a. de c.v.,POLVO,2021-11-15,2001,20
aquavit-e,procaps s.a.,CAPSULA,2026-07-09,2001,25
azitromicina genfar,genfar,TABLETA,2021-11-15,2001,20
almir,medifarma,TABLETA,2021-11-15,2001,20
clomizol-200,laboratorios rowe,OVULO,2021-12-31,2001,20
folimen 1 mg,laboratorios menarini s.a,COMPRIMIDO,2026-12-31,2001,25
oseomax 70,acromax dominicana,TABLETA,2026-11-30,2001,25
