product_name,manufacturer,pharmaceutical_form,expiration_date,register_year,durability
folimen active,laboratorios menarini,POLVO,2020-08-11,2000,20
tebokan e,laboratorios rowe,COMPRIMIDO,2026-04-25,2000,26
farmaferron,laboratorios sintesis,SOLUCION,2020-12-18,2000,20
tridette,gador s.a,COMPRIMIDO,2020-11-23,2000,20
"alplax 0,25 mg",gador s.a,COMPRIMIDO,2025-02-09,2000,25
prelone,pharmacross s.a.,JARABE,2020-08-04,2000,20
adamon,pharmacross s.a.,SOLUCION,2020-08-01,2000,20
ferromene,laboratorios menarini,POLVO,2020-11-28,2000,20
genta darkey,laboratorios sintesis,SOLUCION,2020-11-29,2000,20
astan,pharmacross s.a.,CAPSULA,2020-11-30,2000,20
sultrim fuerte,industria farmoquimica,CAPLETA,2025-11-28,2000,25
flucomicon,laboratorios chalver de colombia s.a.,SOLUCION,2020-12-14,2000,20
sertal compuesto,roemmers,COMPRIMIDO,2020-12-14,2000,20
lodipin - e 5/20,laboratorios dr. collado,COMPRIMIDO,2025-08-31,2000,25
monolitum,laboratorios salvat,CAPSULA,2020-12-14,2000,20
genta darkey,laboratorios sintesis,SOLUCION,2020-12-14,2000,20
virazide pediatrico,laboratorios grossman,SOLUCION,2025-10-27,2000,25
inducor d,laboratorios de aplicaciones medicas,COMPRIMIDO,2020-12-15,2000,20
alplax net,gador,COMPRIMIDO,2025-11-21,2000,25
otoflox,acromax dominicana,SOLUCION,2025-11-28,2000,25
cardionil 20,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-07,2000,25
ecaprinil 20,laboratorios rowe,COMPRIMIDO,2025-08-14,2000,25
ecaprinil d,laboratorios rowe,COMPRIMIDO,2025-10-27,2000,25
parkil,medifarma,TABLETA,2025-06-28,2000,25
preoxid,industria farmaceutica del caribe sas,CAPSULA,2025-10-09,2000,25
eritrex,laboratorios alfa,POLVO,2026-11-27,2000,26
lidocaina 2% alfa  20 mg / ml,laboratorios alfa,SOLUCION,2025-02-16,2000,25
atemperator,armstrong laboratorios de mexico,TABLETA,2025-11-07,2000,25
imidal,industria farmaceutica del caribe,CAPLETA,2025-12-04,2000,25
kalm,laboratorios dr. collado,JARABE,2025-11-28,2000,25
kalm 10,laboratorios dr. collado,COMPRIMIDO,2025-11-23,2000,25
xolum 400,laboratorios dr. collado,CAPLETA,2025-12-20,2000,25
doxil - 20,laboratorios dr. collado,CAPSULA,2025-11-28,2000,25
cetirizina,laboratorios rowe,SOLUCION,2025-08-19,2000,25
metrocaps n,procaps s.a.,OVULO,2025-12-23,2000,25
dextrosa alfa 50%,laboratorios alfa,SOLUCION,2025-03-14,2000,25
dexona 4 mg / 1 ml,laboratorios alfa,SOLUCION,2025-06-28,2000,25
ecaprinil 5,laboratorios rowe,COMPRIMIDO,2025-08-14,2000,25
flagenase 400 pediatrico,laboratorios liomont,SUSPENSION,2025-08-01,2000,25
cardicol 10,laboratorio magnachem international,TABLETA,2025-11-07,2000,25
meprolol-h 100/25,laboratorios dr. collado,CAPLETA,2025-12-15,2000,25
cloranfenicol 250 mg / 5 ml,laboratorios alfa,SUSPENSION,2025-08-20,2000,25
unizol®,industria farmaceutica del caribe,CAPLETA,2025-12-18,2000,25
suprofen,laboratorios sued,SUSPENSION,2025-10-27,2000,25
amlofel,laboratorios feltrex,TABLETA,2025-02-14,2000,25
supradol,laboratorios liomont,TABLETA,2025-12-14,2000,25
protamina 1000,laboratorios grossman,SOLUCION,2025-12-28,2000,25
daprinol compuesto,industria farmaceutica del caribe,CAPSULA,2025-04-25,2000,25
cardicol 5,laboratorio magnachem international s.r.l.,TABLETA,2025-12-03,2000,25
histomin,laboratorios alfa,SOLUCION,2025-06-28,2000,25
ecaprinil 10,laboratorios rowe,COMPRIMIDO,2025-08-14,2000,25
cetirizina,laboratorios rowe,COMPRIMIDO,2025-08-17,2000,25
ramicar 2.5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-08-14,2000,25
lodipres 10,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-08-12,2000,25
erec-f 50mg,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-08-11,2000,25
clormin - 850,industria farmoquimica,CAPLETA,2025-08-09,2000,25
vasocal - ek 2.5/10,laboratorios rowe,CAPSULA,2021-12-31,2000,21
ciprofel,laboratorios feltrex,CAPLETA,2025-05-15,2000,25
diclofenac 50,laboratorios rowe,SUPOSITORIO,2025-12-28,2000,25
ketoconazol 400mg inmenol,inmenol industrial laboratorios,OVULO,2025-11-08,2000,25
celecoxib  200,laboratorios rowe,CAPSULA,2025-12-28,2000,25
"bioplexin 25,000",laboratorios arsal,SOLUCION,2025-12-18,2000,25
diclofenac 100,laboratorios rowe,SUPOSITORIO,2025-12-28,2000,25
amlofel,laboratorios feltrex,TABLETA,2025-02-15,2000,25
lodipin 10,laboratorios dr. collado,COMPRIMIDO,2025-08-15,2000,25
vitamina b12 alfa,laboratorios alfa,SOLUCION,2025-04-10,2000,25
complejo b union,camilo labs,TABLETA,2026-12-19,2001,25
tinizol,laboratorio laprofar,TABLETA,2026-05-23,2001,25
nordal plus,laboratorio laprofar,CAPSULA,2026-06-20,2001,25
nordal plus,laboratorios laprofar,OVULO,2026-06-20,2001,25
sinalerg,lab. gefarca ind. farmaceutica perezespinosa,JARABE,2026-08-08,2001,25
lysinex - car,camilo labs,JARABE,2026-12-31,2001,25
ibuprofeno genfar,genfar,SUSPENSION,2021-11-09,2001,20
senifar,farqui,CAPLETA,2026-02-16,2001,25
colplex,delhi pharma,TABLETA,2026-12-31,2001,25
antial 10,laboratorios de aplicaciones medicas,COMPRIMIDO,2026-06-26,2001,25
colergia,delhi pharma,TABLETA,2026-12-31,2001,25
albendazol,delhi pharma,TABLETA,2021-11-30,2001,20
clorpromazina hidrocloruro,delhi pharma,SOLUCION,2026-11-04,2001,25
falcifor,ethical pharmaceutical,COMPRIMIDO,2026-09-05,2001,25
rhinocort aqua,astrazeneca ab,SUSPENSION,2021-11-14,2001,20
tolnaftin,laboratorios rowe,SOLUCION,2021-11-29,2001,20
rhinocort aqua,astrazeneca ab,SUSPENSION,2021-11-14,2001,20
neural,ethical pharmaceutical,COMPRIMIDO,2026-09-05,2001,25
otogesic,laboratorios rowe,SOLUCION,2026-07-09,2001,25
manzanilla sophia,laboratorios sophia,SOLUCION,2026-03-06,2001,25
sil-norboral,laboratorios silanes,TABLETA,2026-03-06,2001,25
angibloc-50,acromax dominicana,TABLETA,2026-10-04,2001,25
enalapril alfa 20 mg,laboratorios alfa,TABLETA,2026-06-12,2001,25
etigesic,ethical pharmaceutical,COMPRIMIDO,2021-01-18,2001,20
zuclo-p,medifarma,TABLETA,2021-01-22,2001,20
precor 10,acromax dominicana,TABLETA,2026-11-08,2001,25
cetraxal,laboratorios salvat,COMPRIMIDO,2021-01-22,2001,20
triam-n,laboratorios antillanos edmar,OVULO,2026-06-21,2001,25
tenaron 15,roemmers,COMPRIMIDO,2021-01-15,2001,20
precor 5,acromax dominicana,TABLETA,2026-11-08,2001,25
clovagil compuesto,acromax dominicana,CREMA,2026-11-27,2001,25
lansoprazol de liberacion retardada genfar,genfar,CAPSULA,2021-11-27,2001,20
furosemida,delhi pharma,TABLETA,2021-11-30,2001,20
fungoter,acromax dominicana,SOLUCION,2026-11-29,2001,25
espamo digestomen,richam internacional,COMPRIMIDO,2026-11-29,2001,25
duazolam 0.25,laboratorios rowe,COMPRIMIDO,2021-01-15,2001,20
ranicol,delhi pharma,TABLETA,2026-12-19,2001,25
aspirina forte,bayer,TABLETA,2026-01-22,2001,25
angibloc d 50/12.5 mg,acromax dominicana,TABLETA,2026-10-02,2001,25
noplak,ethical pharmaceutical,COMPRIMIDO,2026-08-28,2001,25
mucilan,laboratorios rowe,POLVO,2021-01-15,2001,20
acticam,acromax dominicana,TABLETA,2026-10-02,2001,25
doblocal retard-d,industria farmaceutica del caribe,CAPSULA,2026-07-19,2001,25
alernadina,acromax dominicana,TABLETA,2021-01-11,2001,20
brixia,laboratorios poen s.a.u.,SOLUCION,2026-11-08,2001,25
resfridol te antigripal,laboratorios alfa,POLVO,2026-07-09,2001,25
olan,medifarma,TABLETA,2021-11-14,2001,20
meloxil,ethical pharmaceutical,COMPRIMIDO,2026-09-05,2001,25
coldic,delhi pharma,SOLUCION,2021-12-31,2001,20
azibiotic,acromax dominicana,POLVO,2026-01-18,2001,25
ranicol,delhi pharma,SOLUCION,2021-12-19,2001,20
amlocol-5,delhi pharma,TABLETA,2021-12-19,2001,20
doxiciclina,inmenol industrial laboratorios,CAPSULA,2026-11-07,2001,25
ciprofloxacina  inmenol -500 mg,inmenol industrial laboratorios,CAPLETA,2026-11-08,2001,25
louten,laboratorios poen s.a.u.,SOLUCION,2026-07-09,2001,25
oxitocina,delhi pharma,SOLUCION,2021-12-31,2001,20
histal,ethical pharmaceutical,JARABE,2026-01-10,2001,25
histal,ethical pharmaceutical,COMPRIMIDO,2026-01-10,2001,25
succinato de hidrocortisona sodica,delhi pharma,POLVO,2021-12-31,2001,20
cloranfenicol inmenol,inmenol industrial laboratorios,CAPSULA,2026-11-07,2001,25
concor,ver al dorso,TABLETA,2026-06-12,2001,25
mucolam,laboratorios de aplicaciones medicas,JARABE,2026-01-25,2001,25
mucolam  compositum,laboratorios de aplicaciones medicas,JARABE,2026-02-02,2001,25
atropina,delhi pharma,SOLUCION,2026-12-31,2001,25
amotran 250 mg,laboratorios alfa,POLVO,2026-01-31,2001,25
fenomi-sur,laboratorio del sur,JARABE,2021-12-31,2001,20
amlocol-10,delhi pharma,TABLETA,2021-12-31,2001,20
nor-crezinc,laboratorios teramed,JARABE,2026-08-09,2001,25
nor-crezinc,laboratorios teramed,TABLETA,2026-01-09,2001,25
impedil,ethical pharmaceutical,CAPSULA,2026-01-22,2001,25
olan,medifarma,TABLETA,2021-11-20,2001,20
metoclopramida,delhi pharma,SOLUCION,2021-12-31,2001,20
diclofenaco de liberacion prolongada genfar,genfar,TABLETA,2021-12-31,2001,20
lasurtin,laboratorio del sur,JARABE,2021-12-31,2001,20
colaphen,delhi pharma,SUSPENSION,2021-12-31,2001,20
diclo-k,laboratorios rowe,SUSPENSION,2021-12-31,2001,20
coldexa,delhi pharma,SOLUCION,2021-12-31,2001,20
certara,industria farmaceutica del caribe,CAPLETA,2026-02-02,2001,25
colcip,delhi pharma,TABLETA,2021-12-31,2001,20
colatenol,delhi pharma,TABLETA,2021-12-31,2001,20
alidrex 15,camilo labs,CAPLETA,2021-12-31,2001,20
colaphen,delhi pharma,TABLETA,2022-01-03,2001,21
ulprazol xl,industria farmaceutica del caribe,CAPSULA,2026-12-06,2001,25
certara,industria farmaceutica del caribe,CAPLETA,2026-06-11,2001,25
candistatin-m,laboratorios rowe,OVULO,2026-08-09,2001,25
imidal,industria farmaceutica del caribe,SUSPENSION,2026-06-13,2001,25
nexium,astrazeneca ab,TABLETA,2026-08-14,2001,25
resfridol – plus,laboratorios alfa,JARABE,2026-07-09,2001,25
broncofilin,laboratorios rowe,JARABE,2026-05-16,2001,25
candistatin,laboratorios rowe,CREMA,2026-04-26,2001,25
mebendazol,delhi pharma,TABLETA,2021-12-04,2001,20
diaformina,roemmers,COMPRIMIDO,2026-01-09,2001,25
eritromicina inmenol 500 mg,inmenol industrial laboratorios,CAPLETA,2026-11-08,2001,25
aquavit-e,procaps s.a.,CAPSULA,2026-07-09,2001,25
azitromicina genfar,genfar,TABLETA,2021-11-15,2001,20
almir,medifarma,TABLETA,2021-11-15,2001,20
clomizol-200,laboratorios rowe,OVULO,2021-12-31,2001,20
oseomax 70,acromax dominicana,TABLETA,2026-11-30,2001,25
ciproalfa,laboratorios alfa,CAPLETA,2026-07-09,2001,25
ketoral,laboratorios antillanos edmar (laaned),TABLETA,2026-08-08,2001,25
clorfeniramina,delhi pharma,SOLUCION,2021-12-04,2001,20
almir,medifarma,TABLETA,2021-11-15,2001,20
picetam 800,farqui,CAPLETA,2026-04-03,2001,25
hepavital,ethical pharmaceutical,SUSPENSION,2026-02-02,2001,25
metofen fuerte,farqui,CAPLETA,2026-01-25,2001,25
fludibron pediatrico,dr. elizardo perez espinosa,JARABE,2026-05-22,2001,25
eurovir,laboratorios saval,SUSPENSION,2021-06-20,2001,20
certara diu,industria farmaceutica del caribe,TABLETA,2026-03-08,2001,25
exelon,siegfried barbera,CAPSULA,2026-12-06,2001,25
subrox-c,laboratorios sued,JARABE,2026-10-03,2001,25
mioflex -b,industria farmaceutica del caribe,CAPLETA,2026-07-09,2001,25
acetaminofen  300 mg inmenol,inmenol industrial laboratorios s.r.l,SUPOSITORIO,2026-06-12,2001,25
tiflox 2,laboratorio de aplicaciones medicas,COMPRIMIDO,2026-01-15,2001,25
trio val,laboratorios saval,SUSPENSION,2021-07-04,2001,20
ibuprofeno - 800 mg inmenol,inmenol industrial laboratorios,CAPLETA,2026-04-11,2001,25
eurovir,laboratorios saval,COMPRIMIDO,2021-07-06,2001,20
clormin g 850,farqui,CAPLETA,2026-01-19,2001,25
itrasec,dr. elizardo perez espinosa,CAPLETA,2026-06-13,2001,25
risdon,medifarma,TABLETA,2026-03-20,2001,25
suclor-375,laboratorios sued,POLVO,2026-04-27,2001,25
enalap-h,ethical pharmaceutical,COMPRIMIDO,2026-06-12,2001,25
flumetol nf ofteno,laboratorios sophia,SUSPENSION,2026-12-19,2001,25
carved-d,ethical pharmaceutical,COMPRIMIDO,2026-05-07,2001,25
enalapril alfa,laboratorios alfa,TABLETA,2026-02-13,2001,25
carved,ethical pharmaceutical,COMPRIMIDO,2026-06-13,2001,25
amoxicilina -1000 mg -inmenol,inmenol industrial laboratorios s.r.l,CAPLETA,2026-06-12,2001,25
acetamin 500,laboratorios dr. collado,CAPLETA,2026-01-18,2001,25
trio. val dia y noche,laboratorios saval,COMPRIMIDO,2021-07-09,2001,20
blokapin 5/50,laboratorios dr. collado s.a,CAPLETA,2026-01-16,2001,25
trimetoprim sulfa-inmenol,inmenol industrial laboratorios,CAPLETA,2026-06-20,2001,25
lascobron,inmenol industrial laboratorios,JARABE,2026-06-13,2001,25
aspicard 325,laboratorios rowe,COMPRIMIDO,2026-03-20,2001,25
fenclor,farqui,TABLETA,2021-05-07,2001,20
aspicard 100,laboratorios rowe,COMPRIMIDO,2026-03-20,2001,25
acetaminofen 500 mg inmenol,inmenol industrial laboratorios,CAPLETA,2026-06-20,2001,25
paramox,laboratorios sued,JARABE,2026-10-31,2001,25
albendazol inmenol 200 mg,inmenol industrial laboratorios,TABLETA,2021-07-09,2001,20
ferganic,laboratorios rowe,SOLUCION,2028-02-06,2001,27
carbo-c mas,laboratorio de aplicaciones medicas,CAPLETA,2026-05-07,2001,25
betamex®,industria farmaceutica del caribe,JARABE,2026-04-05,2001,25
dexametasona,laboratorio sanderson s.a.,SOLUCION,2026-02-13,2001,25
metrocidan,laboratorios ameripharma,OVULO,2026-03-06,2001,25
prolyn niños,laboratorios alfa,JARABE,2026-02-13,2001,25
acifol,laboratorios alfa,JARABE,2026-02-14,2001,25
atenolol compuesto,laboratorios alfa,TABLETA,2026-02-14,2001,25
cetraxal otico,laboratorios salvat,SOLUCION,2026-01-21,2001,25
azibiotic,acromax dominicana,TABLETA,2026-06-21,2001,25
dolocef,farqui,CAPLETA,2026-04-03,2001,25
ventoflux compuesto,acromax dominicana,JARABE,2026-05-07,2001,25
betamex,industria farmaceutica del caribe,TABLETA,2026-04-03,2001,25
ceftrian,laboratorios chalver de colombia s.a.,POLVO,2021-08-09,2001,20
candistatin,laboratorios rowe,SUSPENSION,2026-04-26,2001,25
dolo-bioplexin,laboratorios arsal,SOLUCION,2026-07-09,2001,25
fasapren,industria farmaceutica del caribe,CAPLETA,2026-06-13,2001,25
tiflox 5,laboratorio de aplicaciones medicas,COMPRIMIDO,2026-01-15,2001,25
ketoconazol  mk,laboratorio corporacion bonima,CREMA,2026-03-07,2001,25
lantus,sanofi-aventis deutschland gmbh,SOLUCION,2026-03-19,2001,25
metrocaps nf,procaps,SUSPENSION,2026-02-15,2001,25
magnabiotic,laboratorio magnachem international,POLVO,2026-04-02,2001,25
befer-12,farqui,CAPLETA,2026-01-25,2001,25
ferganic,laboratorios rowe,JARABE,2028-02-06,2001,27
fasapren 500 mg,industria farmaceutica del caribe,CAPLETA,2026-05-22,2001,25
glimeryl 2,laboratorios de aplicaciones medicas,COMPRIMIDO,2026-03-21,2001,25
atenolol alfa,laboratorios alfa,TABLETA,2026-04-11,2001,25
cardiosil® 12.5,laboratorios de aplicaciones medicas,COMPRIMIDO,2028-02-18,2001,27
exelon,siegfried barbera,CAPSULA,2026-12-06,2001,25
exelon,siegfried barbera,CAPSULA,2026-12-06,2001,25
atenolol alfa 100 mg,laboratorios alfa,TABLETA,2026-04-11,2001,25
cefalexina inmenol 250 mg / 5 ml,inmenol industrial laboratorios,POLVO,2026-05-22,2001,25
infaderm d.r,laboratorios arsal,CREMA,2026-09-18,2001,25
cardiosil 6.25,laboratorios de aplicaciones medicas,COMPRIMIDO,2028-02-18,2001,27
desplaq,dr. elizardo perez espinosa,COMPRIMIDO,2021-01-31,2001,20
artricom,ethical pharmaceutical,COMPRIMIDO,2026-09-07,2001,25
fisionasal,laboratorios rowe,SOLUCION,2026-05-07,2001,25
urigen,laboratorios antillanos edmar (laaned),COMPRIMIDO,2026-01-09,2001,25
cutaclin,laboratorios grossman,GEL,2026-01-09,2001,25
broncochem balsamico pediatrico,laboratorio magnachem international,POLVO,2021-10-05,2001,20
metrodinazol genfar,genfar,TABLETA,2021-10-03,2001,20
trimetoprim sulfametoxazol f genfar,genfar,TABLETA,2021-03-06,2001,20
biletan ezimatico,gador s.a,COMPRIMIDO,2021-03-07,2001,20
alernadina,acromax dominicana,JARABE,2021-03-07,2001,20
risdon,medifarma,TABLETA,2026-03-20,2001,25
dexona con nistatina,laboratorios alfa,OVULO,2026-02-14,2001,25
magnabiotic,laboratorio magnachem international s.r.l,CAPLETA,2026-04-02,2001,25
ketoconazol,inmenol industrial laboratorios,TABLETA,2026-09-06,2001,25
cortiderm,acromax dominicana,CREMA,2026-01-22,2001,25
bronquilasco,inmenol industrial laboratorios,JARABE,2026-08-09,2001,25
kanamicina 1 g,laboratorios sintesis,SOLUCION,2026-04-11,2001,25
dolo-menalgil,richam internacional s.a.,COMPRIMIDO,2026-03-22,2001,25
dipirona,delhi pharma,SOLUCION,2026-11-30,2001,25
amoval,laboratorios saval,COMPRIMIDO,2026-06-12,2001,25
doloprin,laboratorios alfa,CAPLETA,2026-06-21,2001,25
tracur,cristalia productos quimicos farmaceuticos ltda,SOLUCION,2026-07-09,2001,25
zuclop-p,medifarma,TABLETA,2026-01-22,2001,25
clotrimazol inmenol,inmenol industrial laboratorios,SOLUCION,2026-03-12,2001,25
biletan forte,gador s.a.,COMPRIMIDO,2026-04-03,2001,25
amlodipino mk,laboratorio corporacion bonima,TABLETA,2026-06-21,2001,25
hepatosintes,laboratorios sintesis,SOLUCION,2026-01-25,2001,25
dexa-bioplexin,laboratorios arsal,SOLUCION,2026-12-10,2001,25
eucor - 12.5,laboratorios dr. collado,COMPRIMIDO,2026-12-31,2001,25
interant,camilo labs,CAPLETA,2021-09-18,2001,20
interant,camilo labs,JARABE,2021-09-05,2001,20
mixandex,laboratorios pisa,POLVO,2021-09-05,2001,20
vira-flux,laboratorios rowe,COMPRIMIDO,2021-09-05,2001,20
paxon d,gador s.a,COMPRIMIDO,2026-04-27,2001,25
novutrax,laboratorios pisa,SOLUCION,2021-09-05,2001,20
alplax  xr 2,gador s.a.,COMPRIMIDO,2026-04-25,2001,25
tolnaftin,laboratorios rowe,CREMA,2021-04-27,2001,20
penclox,laboratorios pisa,POLVO,2021-04-27,2001,20
